segment,bets,wins,roi,roi_lo,roi_hi,units
OVERALL,1669,629,-0.04196211282788861,-0.11533465744053126,0.038614856116125904,-69.699069407123
Match Result,648,177,-0.014885553240147191,-0.16489657992620252,0.14336238448986674,-9.64583849961538
Spread,530,256,-0.06934630476666791,-0.15520216723025407,0.01216605952889046,-36.19877108820066
Total Goals,491,196,-0.04858342122058444,-0.17576993441597427,0.08462626441020413,-23.85445981930696
OFF-CONSENSUS favorable,49,4,-0.5570942662779398,-0.923469387755102,-0.05094144800777497,-27.297619047619047
OFF-CONSENSUS unfavorable,176,61,-0.08190383249166235,-0.29809430008884213,0.1476392445438471,-14.415074518532574
