segment,bets,wins,roi,roi_lo,roi_hi,units,kelly_units
All BTTS sides (flat baseline),38,19,-0.0018421052631578906,-0.32642105263157895,0.3457960526315789,-0.07,15.12
BTTS Yes,19,13,0.4689473684210526,-0.002118421052631591,0.9110921052631576,8.91,12.43
BTTS No,19,6,-0.47263157894736846,-0.8252631578947368,-0.115763157894737,-8.98,2.69
"Model recommendation (+EV, gated)",8,6,0.665,-0.05625000000000002,1.3363124999999998,5.32,14.37
