world_cup,model,rps,log_loss,brier,accuracy,n
2010,climatology,0.24642809952323108,1.1149733681048684,0.6805127104120896,0.375,64
2010,home_prior,0.23823975899038602,1.0929878441725924,0.6644647492686971,0.375,64
2010,dixon_coles,0.18766591916080694,0.9445018774752107,0.5609795827044187,0.5625,64
2010,elo,0.19818850897448292,0.9837688993878748,0.5827731236633118,0.53125,64
2010,gbm,0.19502787494654134,1.0099849691189864,0.5847398673002427,0.515625,64
2010,ENSEMBLE,0.18921734397614656,0.9554254613558482,0.5653404852330495,0.515625,64
2014,climatology,0.23978328830148457,1.0618261882697078,0.6426385657170586,0.453125,64
2014,home_prior,0.23714934178660518,1.0519007542815797,0.636756056036309,0.453125,64
2014,dixon_coles,0.19930892909686035,0.9495509501197866,0.5623951632603286,0.5625,64
2014,elo,0.19388415462217912,0.9349773139847619,0.5550989331434589,0.625,64
2014,gbm,0.19074959758167107,0.9247816474141417,0.5514472948437176,0.59375,64
2014,ENSEMBLE,0.19341513923867928,0.9284985454580993,0.55191885807182,0.609375,64
2018,climatology,0.25268600061001,1.0962816154442834,0.6683834336770546,0.390625,64
2018,home_prior,0.24311621509774256,1.067456166230507,0.6488688805072508,0.390625,64
2018,dixon_coles,0.20121137627235824,0.9615087380577865,0.5700904876209829,0.59375,64
2018,elo,0.21283949270556818,0.9933167418105822,0.5917126854886706,0.546875,64
2018,gbm,0.21522220367173522,0.9949894822880399,0.5930130667124188,0.53125,64
2018,ENSEMBLE,0.20820913796750148,0.9751713991660689,0.5809749703696838,0.546875,64
2022,climatology,0.23573616774327616,1.0742082013935408,0.6509176626034205,0.4375,64
2022,home_prior,0.23764949496071364,1.0802071283353074,0.6548048659227805,0.4375,64
2022,dixon_coles,0.22073496716375052,1.0627255244482892,0.6225801088416538,0.46875,64
2022,elo,0.2203052560826685,1.0571310471212958,0.6141107512701766,0.5,64
2022,gbm,0.23145398342567208,1.1163805625981622,0.6457554967651448,0.546875,64
2022,ENSEMBLE,0.21973492752329724,1.0736639523859366,0.6158861028739981,0.5,64
