bucket,n,model_p,actual,gap
1 heavy fav (<1.6),730,0.7408454537877337,0.8027397260273973,-0.061894272239663595
2 fav (1.6-2.0),281,0.5341575300137402,0.49110320284697506,0.04305432716676516
3 pickem (2.0-3.0),584,0.37411738055842414,0.3715753424657534,0.0025420380926707287
4 dog (3.0-5.0),1154,0.2541570642985852,0.2729636048526863,-0.01880654055410108
5 longshot (5.0+),1328,0.11770244041235181,0.07756024096385543,0.04014219944849638
