variant,rps,rps_delta
FULL (DC+Elo+GBM),0.1729490191449681,0.0
drop dixon_coles,0.17313834589715693,0.00018932675218882866
drop elo,0.17293014077989613,-1.8878365071972603e-05
drop gbm,0.17389095376901545,0.000941934624047347
