model,rps,log_loss,brier,accuracy,n
dixon_coles,0.20223029792344402,0.9795717725252683,0.579011335606846,0.546875,256.0
ENSEMBLE,0.20264413717640614,0.9831898395914883,0.5785301041371378,0.54296875,256.0
elo,0.20630435309622466,0.9922985005761287,0.5859238733914044,0.55078125,256.0
gbm,0.20811341490640495,1.0115341653548326,0.593738931405381,0.546875,256.0
home_prior,0.23903870270886185,1.0731379732549966,0.6512236379337594,0.4140625,256.0
climatology,0.24365838904450043,1.0868223433031001,0.6606130931024059,0.4140625,256.0
