market,selection,line,n,mean_pred,base_rate,bias,brier,ece,log_loss
Total Goals,over_1.5,1.5,16758,0.7125847183369681,0.7221625492302184,-0.009577830893250261,0.20057519729803722,0.05298178708724976,0.5918472453673912
Total Goals,over_2.5,2.5,16758,0.47503912163572976,0.48711063372717506,-0.012071512091445302,0.24493905150713832,0.0663877753436955,0.6877998626527582
Total Goals,over_3.5,3.5,16758,0.28184465480677817,0.28589330469029717,-0.0040486498835189955,0.19709051670572603,0.05828129267246345,0.589303843111764
Spread,cover_-1.5,-1.5,16758,0.2650604968710885,0.27055734574531565,-0.005496848874227134,0.15552714714674543,0.020129621449079066,0.4785337295145264
Spread,cover_-0.5,-0.5,16758,0.45312309958513325,0.47923379878267097,-0.026110699197537723,0.19261782387714513,0.029888106860937996,0.5664108156234048
Spread,cover_0.5,0.5,16758,0.6888750928078745,0.7111230457095119,-0.02224795290163739,0.15847963801556159,0.02281159632359211,0.48248910313088034
Spread,cover_1.5,1.5,16758,0.8430103898448009,0.8573218761188686,-0.014311486274067642,0.09647723355528691,0.014311486274067694,0.31879469776697295
BTTS,btts,,16758,0.42043188937020703,0.42791502565938655,-0.007483136289179515,0.24569459582068728,0.04838856396354394,0.6854048186309057
